Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
IWM,235.13,2025-10-17,49,230.00,Put,4.8,208.00,Put,1.06,226.26,-3.77%,3.74,18.26,+20.48%,"4.88 to 1",7.54%,30.6%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,209.00,Put,1.13,226.33,-3.74%,3.67,17.33,+21.18%,"4.72 to 1",7.54%,30.7%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,210.00,Put,1.21,226.41,-3.71%,3.59,16.41,+21.88%,"4.57 to 1",7.54%,30.9%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,211.00,Put,1.29,226.49,-3.67%,3.51,15.49,+22.66%,"4.41 to 1",7.54%,31.1%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,212.00,Put,1.38,226.58,-3.64%,3.42,14.58,+23.46%,"4.26 to 1",7.54%,31.3%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,213.00,Put,1.48,226.68,-3.59%,3.32,13.68,+24.27%,"4.12 to 1",7.54%,31.5%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,215.00,Put,1.69,223.32,-5.02%,1.68,8.32,+20.19%,"4.95 to 1",7.54%,24.8%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,215.00,Put,1.69,226.89,-3.50%,3.11,11.89,+26.16%,"3.82 to 1",7.54%,31.9%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,216.00,Put,1.81,223.44,-4.97%,1.56,7.44,+20.97%,"4.77 to 1",7.54%,25.1%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,216.00,Put,1.81,227.01,-3.45%,2.99,11.01,+27.16%,"3.68 to 1",7.54%,32.1%
IWM,235.13,2025-10-17,49,224.00,Put,3.14,217.00,Put,1.94,222.8,-5.24%,1.2,5.8,+20.69%,"4.83 to 1",7.54%,23.9%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,217.00,Put,1.94,223.57,-4.92%,1.43,6.57,+21.77%,"4.59 to 1",7.54%,25.3%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,217.00,Put,1.94,227.14,-3.40%,2.86,10.14,+28.21%,"3.55 to 1",7.54%,32.4%
IWM,235.13,2025-10-17,49,224.00,Put,3.14,218.00,Put,2.08,222.94,-5.18%,1.06,4.94,+21.46%,"4.66 to 1",7.54%,24.1%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,218.00,Put,2.08,223.71,-4.86%,1.29,5.71,+22.59%,"4.43 to 1",7.54%,25.6%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,218.00,Put,2.08,227.28,-3.34%,2.72,9.28,+29.31%,"3.41 to 1",7.54%,32.7%
IWM,235.13,2025-10-17,49,224.00,Put,3.14,219.00,Put,2.23,223.09,-5.12%,0.91,4.09,+22.25%,"4.49 to 1",7.54%,24.4%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,219.00,Put,2.23,223.86,-4.79%,1.14,4.86,+23.46%,"4.26 to 1",7.54%,25.9%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,219.00,Put,2.23,227.43,-3.27%,2.57,8.43,+30.49%,"3.28 to 1",7.54%,33.0%
IWM,235.13,2025-10-17,49,224.00,Put,3.14,220.00,Put,2.39,223.25,-5.05%,0.75,3.25,+23.08%,"4.33 to 1",7.54%,24.7%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,220.00,Put,2.39,224.02,-4.73%,0.98,4.02,+24.38%,"4.10 to 1",7.54%,26.2%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,220.00,Put,2.39,227.59,-3.21%,2.41,7.59,+31.75%,"3.15 to 1",7.54%,33.4%
IWM,235.13,2025-10-17,49,224.00,Put,3.14,221.00,Put,2.57,223.43,-4.98%,0.57,2.43,+23.46%,"4.26 to 1",7.54%,25.0%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,221.00,Put,2.57,224.2,-4.65%,0.8,3.2,+25.00%,"4.00 to 1",7.54%,26.5%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,221.00,Put,2.57,227.77,-3.13%,2.23,6.77,+32.94%,"3.04 to 1",7.54%,33.7%
IWM,235.13,2025-10-17,49,224.00,Put,3.14,222.00,Put,2.75,223.61,-4.90%,0.39,1.61,+24.22%,"4.13 to 1",7.54%,25.4%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,222.00,Put,2.75,224.38,-4.57%,0.62,2.38,+26.05%,"3.84 to 1",7.54%,26.8%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,222.00,Put,2.75,227.95,-3.05%,2.05,5.95,+34.45%,"2.90 to 1",7.54%,34.1%
IWM,235.13,2025-10-17,49,224.00,Put,3.14,223.00,Put,2.96,223.82,-4.81%,0.18,0.82,+21.95%,"4.56 to 1",7.54%,25.8%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,223.00,Put,2.96,224.59,-4.48%,0.41,1.59,+25.79%,"3.88 to 1",7.54%,27.3%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,223.00,Put,2.96,228.16,-2.96%,1.84,5.16,+35.66%,"2.80 to 1",7.54%,34.6%
IWM,235.13,2025-10-17,49,225.00,Put,3.37,224.00,Put,3.17,224.8,-4.39%,0.2,0.8,+25.00%,"4.00 to 1",7.54%,27.7%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,224.00,Put,3.17,228.37,-2.88%,1.63,4.37,+37.30%,"2.68 to 1",7.54%,35.0%
IWM,235.13,2025-10-17,49,230.00,Put,4.8,225.00,Put,3.4,228.6,-2.78%,1.4,3.6,+38.89%,"2.57 to 1",7.54%,35.5%
QQQ,569.81,2025-10-17,49,575.00,Put,15.2,500.00,Put,2.1,561.9,-1.39%,13.1,61.9,+21.16%,"4.73 to 1",7.92%,41.2%
QQQ,569.81,2025-10-17,49,575.00,Put,15.2,505.00,Put,2.36,562.16,-1.34%,12.84,57.16,+22.46%,"4.45 to 1",7.92%,41.5%
